id,name,address,latitude,longitude,operator,hours_json,amenities,avg_rating,visit_count
15,Fort Greene Park Zone 3,Park | POINT (-73.9747 40.69223),40.692230,-73.974700,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Changing Stations""}",0,0
16,Starlight Park Zone 1,Park | POINT (-73.882888 40.833733),40.833733,-73.882888,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}",{},0,0
17,Clove Lakes Rink,Park | POINT (-74.1079 40.615832),40.615832,-74.107900,NYC Parks Concessionaire,"{""mon"": """", ""tue"": """", ""wed"": """", ""thu"": """", ""fri"": ""16:00-22:00"", ""sat"": ""12:00-22:00"", ""sun"": ""12:00-18:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms""}",0,0
18,Mosholu Playground,Park | POINT (-73.8829 40.87266),40.872660,-73.882900,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
19,General Hart Playground,Park | POINT (-73.8972 40.74879),40.748790,-73.897200,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms"",""Changing Stations, in women's restroom only""}",0,0
20,Gertrude Ederle Recreation Center,Park | POINT (-73.9887 40.77147),40.771470,-73.988700,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Changing Stations""}",0,0
21,"Great Kills Library, NYPL",Library | POINT (-74.151113 40.552432),40.552432,-74.151113,NYPL,"{""mon"": ""11:00-18:00"", ""tue"": ""11:00-18:00"", ""wed"": ""11:00-18:00"", ""thu"": ""11:00-18:00"", ""fri"": ""10:00-17:00"", ""sat"": ""10:00-16:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Single-Stall All Gender Restroom(s)"",""Changing Stations""}",0,0
22,"Sunset Park Library, BPL",Library | POINT (-74.013631 40.64592),40.645920,-74.013631,BPL,"{""mon"": ""10:00-18:00"", ""tue"": ""13:00-20:00"", ""wed"": ""10:00-18:00"", ""thu"": ""10:00-20:00"", ""fri"": ""10:00-18:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Partially Accessible"",""Single-Stall All Gender Restroom(s)"",""Changing Stations""}",0,0
23,De Witt Clinton Park,Park | POINT (-73.9946 40.76821),40.768210,-73.994600,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
24,Arrochar Playground,Park | POINT (-74.0712 40.59784),40.597840,-74.071200,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
25,55 East 52nd Street POPS,Privately Owned Public Space | POINT (-73.973672 40.759132),40.759132,-73.973672,Park Avenue Plaza Owner LLC,"{""mon"": ""Closed"", ""tue"": """", ""wed"": """", ""thu"": """", ""fri"": """", ""sat"": """", ""sun"": ""08:00-22:00""}","{""Partially Accessible"",""Single-Stall All Gender Restroom(s)""}",0,0
26,Potomac Playground,Park | POINT (-73.9442 40.68205),40.682050,-73.944200,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
27,"Cypress Hills Library, BPL",Library | POINT (-73.874036 40.672716),40.672716,-73.874036,BPL,"{""mon"": ""10:00-18:00"", ""tue"": ""13:00-20:00"", ""wed"": ""10:00-18:00"", ""thu"": ""10:00-20:00"", ""fri"": ""10:00-18:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Fully Accessible"",""Single-Stall All Gender Restroom(s)"",""Changing Stations""}",0,0
28,Big Bush Playground,Park | POINT (-73.9027 40.74025),40.740250,-73.902700,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms"",""Changing Stations, in women's restroom only""}",0,0
29,"Maspeth Library, QPL",Library | POINT (-73.893106 40.727004),40.727004,-73.893106,QPL,"{""mon"": ""10:00-18:00"", ""tue"": ""13:00-18:00"", ""wed"": ""10:00-18:00"", ""thu"": ""12:00-20:00"", ""fri"": ""10:00-18:00"", ""sat"": ""10:00-17:00"", ""sun"": ""Closed""}","{""Single-Stall All Gender Restroom(s)"",""Changing Stations""}",0,0
30,Nautilus Playground,Park | POINT (-73.9959 40.57172),40.571720,-73.995900,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
31,Tilden Playground,Park | POINT (-73.9314 40.6479),40.647900,-73.931400,NYC Parks,"{""mon"": ""08:00-16:00"", ""tue"": ""08:00-16:00"", ""wed"": ""08:00-16:00"", ""thu"": ""08:00-16:00"", ""fri"": ""08:00-16:00"", ""sat"": ""08:00-16:00"", ""sun"": ""08:00-16:00""}","{""Fully Accessible"",""Multi-Stall W/M Restrooms"",""Changing Stations""}",0,0
